County,Category,Score
Appling County,Composite,48.1
Atkinson County,Composite,45.8
Bacon County,Composite,44.6
Baker County,Composite,49.8
Baldwin County,Composite,47.7
Banks County,Composite,51.9
Barrow County,Composite,55.1
Bartow County,Composite,55.2
Ben Hill County,Composite,39.0
Berrien County,Composite,42.9
Bibb County,Composite,44.5
Bleckley County,Composite,54.9
Brantley County,Composite,46.5
Brooks County,Composite,46.0
Bryan County,Composite,70.1
Bulloch County,Composite,50.1
Burke County,Composite,51.2
Butts County,Composite,49.5
Calhoun County,Composite,47.2
Camden County,Composite,55.6
Candler County,Composite,48.5
Carroll County,Composite,57.9
Catoosa County,Composite,58.8
Charlton County,Composite,47.0
Chatham County,Composite,58.7
Chattahoochee County,Composite,51.9
Chattooga County,Composite,39.9
Cherokee County,Composite,68.0
Clarke County,Composite,53.7
Clay County,Composite,40.2
Clayton County,Composite,38.3
Clinch County,Composite,39.0
Cobb County,Composite,67.9
Coffee County,Composite,46.7
Colquitt County,Composite,43.9
Columbia County,Composite,74.6
Cook County,Composite,48.2
Coweta County,Composite,65.8
Crawford County,Composite,43.2
Crisp County,Composite,36.7
Dade County,Composite,52.3
Dawson County,Composite,68.0
DeKalb County,Composite,56.9
Decatur County,Composite,43.4
Dodge County,Composite,50.4
Dooly County,Composite,43.6
Dougherty County,Composite,39.4
Douglas County,Composite,57.8
Early County,Composite,37.2
Echols County,Composite,44.0
Effingham County,Composite,61.8
Elbert County,Composite,42.7
Emanuel County,Composite,40.2
Evans County,Composite,45.2
Fannin County,Composite,62.0
Fayette County,Composite,74.8
Floyd County,Composite,57.0
Forsyth County,Composite,81.4
Franklin County,Composite,49.5
Fulton County,Composite,65.6
Gilmer County,Composite,53.0
Glascock County,Composite,53.0
Glynn County,Composite,57.1
Gordon County,Composite,52.4
Grady County,Composite,48.0
Greene County,Composite,55.1
Gwinnett County,Composite,60.1
Habersham County,Composite,57.3
Hall County,Composite,57.1
Hancock County,Composite,32.8
Haralson County,Composite,57.3
Harris County,Composite,66.5
Hart County,Composite,56.8
Heard County,Composite,46.3
Henry County,Composite,60.6
Houston County,Composite,59.6
Irwin County,Composite,44.8
Jackson County,Composite,68.2
Jasper County,Composite,55.3
Jeff Davis County,Composite,49.1
Jefferson County,Composite,45.1
Jenkins County,Composite,29.7
Johnson County,Composite,44.2
Jones County,Composite,58.8
Lamar County,Composite,50.2
Lanier County,Composite,44.6
Laurens County,Composite,47.7
Lee County,Composite,64.1
Liberty County,Composite,51.4
Lincoln County,Composite,50.7
Long County,Composite,48.0
Lowndes County,Composite,50.9
Lumpkin County,Composite,63.3
Macon County,Composite,27.2
Madison County,Composite,57.0
Marion County,Composite,51.3
McDuffie County,Composite,41.9
McIntosh County,Composite,54.3
Meriwether County,Composite,38.2
Miller County,Composite,42.4
Mitchell County,Composite,36.0
Monroe County,Composite,58.0
Montgomery County,Composite,41.2
Morgan County,Composite,64.3
Murray County,Composite,50.5
Muscogee County,Composite,51.8
Newton County,Composite,53.5
Oconee County,Composite,85.4
Oglethorpe County,Composite,60.9
Paulding County,Composite,62.1
Peach County,Composite,47.2
Pickens County,Composite,62.2
Pierce County,Composite,46.7
Pike County,Composite,60.7
Polk County,Composite,43.1
Pulaski County,Composite,50.7
Putnam County,Composite,51.4
Quitman County,Composite,29.4
Rabun County,Composite,53.8
Randolph County,Composite,30.4
Richmond County,Composite,42.0
Rockdale County,Composite,55.0
Schley County,Composite,48.3
Screven County,Composite,42.1
Seminole County,Composite,45.2
Spalding County,Composite,49.4
Stephens County,Composite,51.6
Stewart County,Composite,45.7
Sumter County,Composite,47.8
Talbot County,Composite,42.5
Taliaferro County,Composite,41.0
Tattnall County,Composite,50.9
Taylor County,Composite,29.9
Telfair County,Composite,42.0
Terrell County,Composite,31.0
Thomas County,Composite,52.8
Tift County,Composite,49.8
Toombs County,Composite,46.9
Towns County,Composite,64.1
Treutlen County,Composite,31.0
Troup County,Composite,48.4
Turner County,Composite,39.4
Twiggs County,Composite,41.2
Union County,Composite,65.6
Upson County,Composite,48.4
Walker County,Composite,50.7
Walton County,Composite,60.4
Ware County,Composite,47.4
Warren County,Composite,45.9
Washington County,Composite,44.8
Wayne County,Composite,50.0
Webster County,Composite,40.9
Wheeler County,Composite,40.8
White County,Composite,59.0
Whitfield County,Composite,46.7
Wilcox County,Composite,44.5
Wilkes County,Composite,37.5
Wilkinson County,Composite,45.2
Worth County,Composite,37.6
Appling County,Economy,42.8
Atkinson County,Economy,59.0
Bacon County,Economy,47.0
Baker County,Economy,41.7
Baldwin County,Economy,38.9
Banks County,Economy,54.0
Barrow County,Economy,66.3
Bartow County,Economy,57.2
Ben Hill County,Economy,33.5
Berrien County,Economy,43.7
Bibb County,Economy,41.0
Bleckley County,Economy,36.3
Brantley County,Economy,52.9
Brooks County,Economy,46.3
Bryan County,Economy,69.2
Bulloch County,Economy,47.2
Burke County,Economy,42.0
Butts County,Economy,55.7
Calhoun County,Economy,47.0
Camden County,Economy,43.7
Candler County,Economy,50.8
Carroll County,Economy,55.2
Catoosa County,Economy,49.8
Charlton County,Economy,40.8
Chatham County,Economy,51.8
Chattahoochee County,Economy,32.8
Chattooga County,Economy,32.2
Cherokee County,Economy,68.2
Clarke County,Economy,58.3
Clay County,Economy,38.3
Clayton County,Economy,43.1
Clinch County,Economy,49.7
Cobb County,Economy,59.5
Coffee County,Economy,37.6
Colquitt County,Economy,47.9
Columbia County,Economy,61.7
Cook County,Economy,45.6
Coweta County,Economy,62.5
Crawford County,Economy,46.4
Crisp County,Economy,20.3
Dade County,Economy,48.7
Dawson County,Economy,62.8
DeKalb County,Economy,51.9
Decatur County,Economy,42.3
Dodge County,Economy,39.3
Dooly County,Economy,27.1
Dougherty County,Economy,29.3
Douglas County,Economy,56.7
Early County,Economy,30.4
Echols County,Economy,48.5
Effingham County,Economy,62.9
Elbert County,Economy,35.7
Emanuel County,Economy,41.2
Evans County,Economy,44.1
Fannin County,Economy,58.2
Fayette County,Economy,57.5
Floyd County,Economy,45.5
Forsyth County,Economy,76.4
Franklin County,Economy,47.8
Fulton County,Economy,55.0
Gilmer County,Economy,50.6
Glascock County,Economy,48.0
Glynn County,Economy,50.0
Gordon County,Economy,51.5
Grady County,Economy,47.4
Greene County,Economy,52.2
Gwinnett County,Economy,61.2
Habersham County,Economy,49.7
Hall County,Economy,61.2
Hancock County,Economy,34.1
Haralson County,Economy,52.4
Harris County,Economy,55.9
Hart County,Economy,49.9
Heard County,Economy,50.2
Henry County,Economy,60.1
Houston County,Economy,48.3
Irwin County,Economy,36.3
Jackson County,Economy,71.0
Jasper County,Economy,55.5
Jeff Davis County,Economy,49.0
Jefferson County,Economy,37.8
Jenkins County,Economy,38.8
Johnson County,Economy,38.4
Jones County,Economy,50.3
Lamar County,Economy,51.2
Lanier County,Economy,42.0
Laurens County,Economy,37.3
Lee County,Economy,51.1
Liberty County,Economy,38.5
Lincoln County,Economy,45.7
Long County,Economy,67.6
Lowndes County,Economy,42.8
Lumpkin County,Economy,58.8
Macon County,Economy,31.8
Madison County,Economy,58.6
Marion County,Economy,42.3
